category,sub_category,relation_type,linkers_english,linkers_spanish
CONSEQUENCE,DIRECT,support,as a consequence,como consecuencia
CONSEQUENCE,DIRECT,support,as a result,como resultado
CONSEQUENCE,DIRECT,support,consequently,como consecuencia
CONSEQUENCE,DIRECT,support,for this reason,por esta razón
CONSEQUENCE,DIRECT,support,hence,por eso
CONSEQUENCE,DIRECT,support,it follows that,resulta que
CONSEQUENCE,DIRECT,support,so,entonces
CONSEQUENCE,DIRECT,support,so that,así que eso
CONSEQUENCE,DIRECT,support,then,luego
CONSEQUENCE,DIRECT,support,therefore ,por lo tanto
CONSEQUENCE,DIRECT,support,thus,por lo tanto
CONSEQUENCE,GOAL,support,aimed to,tuvo como objetivo
CONSEQUENCE,GOAL,support,aiming to,aspirar a
CONSEQUENCE,GOAL,support,in order to,con el fin de
CONSEQUENCE,GOAL,support,to,a
CONSEQUENCE,GOAL,support,that allow,eso permite
CONSEQUENCE,GOAL,support,that allows,eso permite
CONSEQUENCE,GOAL,support,which allow,que permiten
CONSEQUENCE,GOAL,support,which allows,que permite
CONSEQUENCE,GOAL,support,which let,que le permiten
CONSEQUENCE,GOAL,support,which entail,que implican
CONSEQUENCE,ALTERNATIVE,support,otherwise,de lo contrario
CONSEQUENCE,ALTERNATIVE,support,if not,si no
CONSEQUENCE,ALTERNATIVE,support,else,demás
CONSEQUENCE,ALTERNATIVE,support,or,o
CONSEQUENCE,ALTERNATIVE,support,or else,o sino
